Senders,Nationality
Napoleon,France
William Shakespeare,UK
Abraham Lincoln,US
George Washington,US
Adolf Hitler,Austria
Aristotle,Greece
Alexander the Great,Greece
Thomas Jefferson,US
Henry VIII of England,UK
Charles Darwin,UK
Elizabeth I of England,UK
Karl Marx,Germany
Julius Caesar,Italy
Queen Victoria,UK
Martin Luther,Germany
Joseph Stalin,Georgia
Albert Einstein,Germany
Christopher Columbus,Italy
Isaac Newton,UK
Charlemagne,Unknown
Theodore Roosevelt,US
Wolfgang Amadeus Mozart,Austria
Plato,Greece
Louis XIV of France,France
Ludwig van Beethoven,Germany
Leonardo da Vinci,Italy
